"CARDID","LINEID","BEGINTIME","ENDTIME","STATIONFROM","STATIONTO","BUSID"
"8C7E374FB839684E2AD11D510B2C1578","10945","20140401165700","20140401170549","32","37","00051035"
"0338FBC31142975F19BFAD67ADCF1AD9","10945","20140401165700","20140401170554","32","37","00051035"
"95A9171A10CC37CE08A818227D3D349F","10945","20140401170900","20140401171506","39","42","00051035"
"EF6600B7EEC022543BF7A4C7930F4DB5","10945","20140401161800","20140401172339","13","44","00051035"
"F454BE57E84E3251BEE31D91C4BBBD86","10945","20140401160800","20140401172344","9","44","00051035"
"76D8DFA43A78C8D5FDA9BAD76348304D","10945","20140401170900","20140401172838","39","45","00051035"
"A8F4DCCDE867FA1E7A7725126DBFCFBB","10945","20140401165500","20140401172846","31","45","00051035"
"197ED5A7633AB37A683DFF076C34E961","10945","20140401113200","20140401175304","20","45","00051035"
"10D78DA1F7E65EA4CB6AE76A9438AAD8","10945","20140401175300","20140401180333","45","42","00051035"
"30E10744AC97EEC809FC66E239B515B4","10945","20140401124700","20140401124806","27","28","00051026"
"A94E2B35B116243682E757D75FD95F80","10945","20140401124200","20140401125331","24","29","00051026"
"8C34535CD3BB70A49A3FF55332AB0DEE","10945","20140401124600","20140401125457","26","30","00051026"
"9AC81035A1B2FAE05DC73619EB1C81F7","10945","20140401124600","20140401125634","26","30","00051026"
"BD06FAAB908B4215DEAE52188736DE79","10945","20140401125700","20140401125956","30","32","00051026"
"447EF19220C4764FA94D31F37C99D59B","10945","20140401125800","20140401132155","31","43","00051026"
"88715DACE071F70BFBD43C6F40964A33","10945","20140401122400","20140401132330","15","44","00051026"
"0E04F5C09A2EED1488063B730C0071DD","10945","20140401124700","20140401132446","27","44","00051026"
"3A06C5C2B64A875B7CD763CE5D99BF13","10945","20140401121700","20140401132513","11","44","00051026"
"8A51B785765AE5C80F6AAF0AAAF5307A","10945","20140401124700","20140401132540","27","44","00051026"
"58BF3F2AA7EF06BA2FFF627B54ED84AB","10945","20140401124700","20140401132542","27","44","00051026"
"8880E68A881D3F847903992C2A658943","10945","20140401120200","20140401132544","3","44","00051026"
"3F24A8E261E8F0D155E362EE91ECDEB6","10945","20000000000000","20140401135448","0","45","00051026"
"D9C5D957BA9163FADFDF98B9537AB4FD","10945","20140401134200","20140401135449","35","45","00051026"
"B8B266E522FF6750FCA2C8F6875EAD93","10945","20140401135800","20140401135815","44","43","00051026"
